Price,Demand,Criticality,CSL,Fill rate,Fixed costs,Holding costs,Marginal costs,Total costs (no marginal),Total costs,Counts
1,-1,1,1.0,1.0,1260.0,77.90020833333331,173.47999999999996,1337.9002083333332,1511.3802083333333,11
1,-1,2,1.0,1.0,2448.0,103.91104166666665,162.24,2551.9110416666667,2714.151041666667,39
1,-1,3,1.0,1.0,0.0,0.029374999999999995,0.0,0.029374999999999995,0.029374999999999995,3
1,-1,4,1.0,1.0,504.0,50.42145833333334,102.54,554.4214583333334,656.9614583333333,7
1,0,1,1.0,0.9961013645224172,7452.0,265.1097916666669,1084.04,7717.109791666667,8801.149791666667,57
1,0,2,1.0,0.9989669421487604,31068.0,954.3608333333357,3579.8400000000256,32022.360833333336,35602.200833333365,242
1,0,3,1.0,1.0,1584.0,87.17770833333329,266.15,1671.1777083333334,1937.3277083333332,16
1,0,4,1.0,1.0,14292.0,660.2441666666666,2684.050000000003,14952.244166666667,17636.29416666667,115
1,1,1,0.6700341563641264,0.7650958939845153,47952.0,2558.6960416666716,11126.580000000038,50510.69604166667,61637.27604166671,274
1,1,2,0.6299098555722037,0.7297504907042793,132408.0,2775.0670833333634,26794.770000000128,135183.06708333336,161977.8370833335,756
1,1,3,0.4533375628203214,0.6360019148530273,4464.0,63.80687499999998,1362.4699999999996,4527.806875,5890.276875,29
1,1,4,0.5126055576534045,0.45871123139204284,80496.0,1422.995208333333,26152.40999999999,81918.99520833333,108071.40520833332,495
1,2,1,0.6600086127863904,0.4602869822253052,12132.0,2582.1745833333334,41933.730000000025,14714.174583333333,56647.90458333336,54
1,2,2,0.5505289367268533,0.35259044031274606,32832.0,2746.039166666666,71277.12000000005,35578.03916666667,106855.15916666672,144
1,2,3,0.5230769230769231,0.34575048976699596,828.0,33.09583333333333,721.8199999999999,861.0958333333333,1582.9158333333332,4
1,2,4,0.4986339752844426,0.2169883286569374,56628.0,2541.115625000001,93928.89999999986,59169.115625,153098.01562499985,233
2,-1,1,1.0,0.9968253968253967,2160.0,4230.986041666668,5222.249999999997,6390.986041666668,11613.236041666665,35
2,-1,2,1.0,0.9988095238095237,8460.0,15103.628333333334,18915.509999999984,23563.628333333334,42479.13833333332,140
2,-1,3,1.0,1.0,540.0,1797.8841666666665,1459.2799999999997,2337.8841666666667,3797.1641666666665,13
2,-1,4,1.0,1.0,1152.0,1322.1233333333334,2345.3100000000004,2474.1233333333334,4819.433333333334,15
2,0,1,1.0,0.9991554054054054,19512.0,10808.849791666682,37365.20999999997,30320.849791666682,67686.05979166666,148
2,0,2,1.0,0.9972938247811773,75348.0,43519.17437500014,152330.80000000005,118867.17437500015,271197.9743750002,593
2,0,3,1.0,1.0,5724.0,2485.2222916666665,9833.28,8209.222291666667,18042.502291666668,41
2,0,4,1.0,0.9984890109890111,30708.0,17155.39000000003,58441.45000000006,47863.39000000003,106304.84000000008,260
2,1,1,0.6282425290910288,0.7967343320009197,52272.0,23263.779583333315,155567.34999999977,75535.77958333332,231103.1295833331,321
2,1,2,0.5873381127025439,0.7695284379229923,162072.0,64280.64958333324,569352.8399999999,226352.64958333323,795705.489583333,1029
2,1,3,0.5976478529295429,0.8271093929544635,9792.0,5357.434583333333,34879.97999999999,15149.434583333332,50029.41458333332,71
2,1,4,0.5457657095749829,0.6416142663457325,101088.0,21032.153958333307,296315.7199999994,122120.1539583333,418435.8739583327,588
2,2,1,0.48614361828647545,0.35821332099041003,3528.0,1313.4866666666667,52684.919999999984,4841.486666666667,57526.40666666665,14
2,2,2,0.609458489835328,0.3693067944017436,7776.0,9925.098750000003,276603.47999999986,17701.098750000005,294304.57874999987,32
2,2,3,0.32142857142857145,0.1762511373976342,576.0,57.15666666666666,2229.2,633.1566666666666,2862.3566666666666,2
2,2,4,0.512693919836777,0.23709226769001815,5760.0,3304.262083333333,76120.34999999998,9064.262083333333,85184.61208333331,21
3,-1,1,1.0,1.0,3312.0,76153.54374999995,63247.61,79465.54374999995,142713.15374999994,69
3,-1,2,1.0,0.9994158878504673,14976.0,225139.9650000002,295621.18000000017,240115.9650000002,535737.1450000004,214
3,-1,3,1.0,1.0,2592.0,42632.75916666668,63088.89999999998,45224.75916666668,108313.65916666665,39
3,-1,4,1.0,1.0,3276.0,51541.8883333333,94197.53000000001,54817.8883333333,149015.4183333333,36
3,0,1,1.0,0.995852051512429,20808.0,101245.55833333316,331347.7099999998,122053.55833333316,453401.26833333296,159
3,0,2,1.0,0.9948764624663905,86760.0,442453.58770833386,1428784.0600000005,529213.5877083339,1957997.6477083345,695
3,0,3,1.0,1.0,8892.0,50924.71791666664,148684.4699999999,59816.71791666664,208501.18791666656,82
3,0,4,1.0,0.9952564102564102,34380.0,190292.2649999998,634139.1399999998,224672.2649999998,858811.4049999996,260
3,1,1,0.6448223047239902,0.8761173557449554,25884.0,116343.24729166678,691590.22,142227.24729166678,833817.4672916668,178
3,1,2,0.6390937009927397,0.8851407442483998,81612.0,414148.1800000007,2048022.8899999987,495760.1800000007,2543783.0699999994,624
3,1,3,0.6900778619528619,0.8891708214624879,8460.0,51301.61250000005,217707.3800000001,59761.61250000005,277468.99250000017,72
3,1,4,0.6109835447584859,0.772458078482219,41328.0,141550.51874999993,1197643.6400000006,182878.51874999993,1380522.1587500004,227
3,2,1,0.8333333333333334,0.6778523489932886,576.0,22708.75,206460.0,23284.75,229744.75,2
3,2,2,0.9125,0.9482514394688428,828.0,27704.047916666663,115716.53000000003,28532.047916666663,144248.5779166667,4
3,2,4,0.3644133644133644,0.2872194660996929,864.0,1308.0833333333333,32650.099999999988,2172.083333333333,34822.18333333332,3
4,-1,1,1.0,1.0,1188.0,354690.22083333344,137699.6,355878.22083333344,493577.8208333334,42
4,-1,2,1.0,1.0,2736.0,856334.2083333326,391208.4000000001,859070.2083333326,1250278.6083333327,118
4,-1,3,1.0,1.0,288.0,87123.25208333333,52144.99999999999,87411.25208333333,139556.25208333333,13
4,-1,4,1.0,1.0,2628.0,385111.13958333334,419979.6999999997,387739.13958333334,807718.8395833331,49
4,0,1,1.0,1.0,2988.0,178596.99583333338,367788.0,181584.99583333338,549372.9958333333,32
4,0,2,1.0,0.9966777408637875,4356.0,174585.07291666666,435721.40000000026,178941.07291666666,614662.4729166669,43
4,0,3,1.0,1.0,792.0,44794.76041666667,92163.6,45586.76041666667,137750.36041666666,9
4,0,4,1.0,0.996825396825397,5436.0,279450.6833333333,660211.9,284886.6833333333,945098.5833333333,45
4,1,1,0.7517526455026455,0.9394510582010582,2664.0,255641.4458333335,549119.8999999998,258305.4458333335,807425.3458333333,36
4,1,2,0.8411840411840412,0.9465016965016967,3600.0,267191.52499999997,761162.0999999997,270791.52499999997,1031953.6249999998,37
4,1,3,0.9633333333333335,1.0,1116.0,78337.94791666666,147511.60000000003,79453.94791666666,226965.5479166667,10
4,1,4,0.6252688172043012,0.8930491551459295,3096.0,110013.5875,636886.5000000003,113109.5875,749996.0875000004,31
